"availability","brand","condition","description","enddatetime","google_product_category","gtin","id","identifier_exists","image_link","is_bundle","link","mpn","price","price_now_clean","price_old","product_type","sale_price","shipping(country:price:max_handling_time)","short_title","shortspecs","startdatetime","title","webgains"
"in_stock","Honeywell","new","Met de Honeywell Rondostat HR27 verwarm je jouw woning op een efficiënte manier.","2026-02-02 23:59:59","Huis en tuin > Huishoudelijke apparaten > Klimaatregeling > Verwarmingsradiatoren","5059085003197","2929719","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYmV4LXByZC1hcGktMzBmMC1kb2N1bWVudHMtcHVibGljL2VhZmIzZWYyLWUxYmEtNGYwMS1iNjdhLWIwNDQ3YmVhNzRlYi82ZTAxNjZhOC1mNDg3LTQ1OTgtOTQ2My0zNTUxYmMxNjlkYWUvaW1hZ2UucG5n","False","https://www.ibood.com/nl/s-nl/o/4x-honeywell-rondostat-hr27-thermostaat/2929719","5059085003197","159.98 EUR","39,95","159,98","product","39.95 EUR","NL:5,95:2","4x Honeywell Rondostat HR27 Thermostaat","<ul><li>Nauwkeurige temperatuurregeling</li><li>Eenvoudige installatie &amp; universeel</li><li>Programmeerbare instellingen</li></ul>","2026-02-02 00:00:00","4x Honeywell Rondostat HR27 Thermostaat","ibood"
"in_stock","Apple","new","Voor alle mensen die nooit (al dan niet vloekend) hun spullen kunnen vinden. :)","2026-02-02 23:59:59","Kleding en accessoires > Kledingaccessoires > Polsbanden","0195949686641","2967957","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYm9vZC1nby1wcm9kdWN0aW9uLWdjcy1zdG9yYWdlL2ltYWdlcy9zb3VyY2UvMTQ3MDk0NC5wbmc","False","https://www.ibood.com/nl/s-nl/o/4x-apple-airtag/2967957","0195949686641","129.00 EUR","79,95","129","product","79.95 EUR","NL:3,95:2","4x Apple AirTag","<ul>
	<li>Altijd en overal je spullen vinden</li>
	<li>Toegang tot Apple&rsquo;s &lsquo;Zoek mijn&rsquo;-netwerk</li>
	<li>Verloren-Modus voor verloren spullen</li>
</ul>","2026-02-02 00:00:00","4x Apple AirTag","ibood"
"in_stock","Samura","new","Op veel keukenklussen voorbereid!","2026-02-02 23:59:59","Huis en tuin > Keuken en eetkamer > Keukengereedschap > Keukenmessen","4751029322104","2951323","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYmV4LXByZC1hcGktMzBmMC1kb2N1bWVudHMtcHVibGljL2VhZmIzZWYyLWUxYmEtNGYwMS1iNjdhLWIwNDQ3YmVhNzRlYi9mYTQwNGYwMC1lYjJiLTQ2ODEtOGIxYS0yNDM3NmFmOTI2NzkvaW1hZ2UucG5n","False","https://www.ibood.com/nl/s-nl/o/samura-reptile-keukenmessenset-3-delig-broodmes-koksmes-universeelmes/2951323","4751029322104","229.99 EUR","39,95","229,99","product","39.95 EUR","NL:5,95:2","Samura Reptile Keukenmessenset | 3-delig","<ul><li>Gemaakt van AUS-10 staal</li><li>Naadloos overlopend RVS heft</li><li>Duimgat voor kortere greep</li></ul>","2026-02-02 00:00:00","Samura Reptile Keukenmessenset | 3-delig | Broodmes, Koksmes & Universeelmes","ibood"
"in_stock","Noony","new","Jouw redding deze winter!","2026-02-02 23:59:59","Huis en tuin > Decoratie > Stoelkussens","8720299762510","2975312","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYmV4LXByZC1hcGktMzBmMC1kb2N1bWVudHMtcHVibGljL2VhZmIzZWYyLWUxYmEtNGYwMS1iNjdhLWIwNDQ3YmVhNzRlYi8xOThhNjM2YS03ZmY1LTQ4ZTctOTkzNS05NzU4NGQ0Y2M1ZWIvaW1hZ2UucG5n","False","https://www.ibood.com/nl/s-nl/o/cosas-noony-deken-met-mouwen-180-x-130-cm/2975312","8720299762510","39.95 EUR","16,95","39,95","product","16.95 EUR","NL:5,95:2","Cosas Noony Deken met Mouwen | 180 x 130 cm","<ul>
	<li>Fleecedeken met mouwen</li>
	<li>Houdt je lekker warm</li>
	<li>Behaaglijk en zacht</li>
</ul>","2026-02-02 00:00:00","Cosas Noony Deken met Mouwen | 180 x 130 cm","ibood"
"in_stock","Qbrick","new","Deze gereedschapswagen houdt jouw uitrusting perfect geordend – klaar voor elke klus!","2026-02-02 23:59:59","Huis en tuin > Huishoudelijke benodigdheden > Opruimen en organiseren","5901238258346","2846568","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYmV4LXByZC1hcGktMzBmMC1kb2N1bWVudHMtcHVibGljL2VhZmIzZWYyLWUxYmEtNGYwMS1iNjdhLWIwNDQ3YmVhNzRlYi8wYzQ0YzM4YS1hY2JkLTQxMTUtOGZmMy1jOTc4MDE4ZDQ4ODEvaW1hZ2UucG5n","False","https://www.ibood.com/nl/s-nl/o/qbrick-system-pro-drawer-gereedschapswagen/2846568","5901238258346","199.95 EUR","99,95","199,95","product","99.95 EUR","NL:8,95:2","Qbrick System Pro Drawer Gereedschapswagen","<ul>
	<li>Meerdere lades</li>
	<li>Verstelbaar platform</li>
	<li>Modulair ontwerp</li>
</ul>","2026-02-02 00:00:00","Qbrick System Pro Drawer Workshop Gereedschapswagen","ibood"
"in_stock","Jack & jones","new","Comfortabel genoeg voor de bank, netjes genoeg voor de baas.","2026-02-02 23:59:59","Kleding en accessoires","5715716512710","2962339","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYmV4LXByZC1hcGktMzBmMC1kb2N1bWVudHMtcHVibGljL2VhZmIzZWYyLWUxYmEtNGYwMS1iNjdhLWIwNDQ3YmVhNzRlYi8xNDFkYjlkYy01YzYyLTQ2YWEtYjRmMS1iNGIyZmUxYzAxZGUvaW1hZ2UucG5n","False","https://www.ibood.com/nl/s-nl/o/jack-jones-essentials-george-knit-polo-heren/2962339","5715716512710","34.99 EUR","14,95","34,99","product","14.95 EUR","NL:5,95:2","Jack & Jones Essentials George Knit Polo","<ul><li>Fijne relaxt fit &amp; kriebelt niet</li><li>Blijft lang mooi van kleur &amp; model</li><li>Zacht &amp; ademend breiwerk</li></ul>","2026-02-02 00:00:00","Jack & Jones Essentials George Knit Polo | Heren","ibood"
"in_stock","Dove","new","Dit is pas frisheid met extra voordeel!","2026-02-02 23:59:59","Gezondheid en persoonlijke verzorging > Persoonlijke verzorging > Deodorant en antitranspiratie > Deodorant","8720181284687","2970851","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYmV4LXByZC1hcGktMzBmMC1kb2N1bWVudHMtcHVibGljL2VhZmIzZWYyLWUxYmEtNGYwMS1iNjdhLWIwNDQ3YmVhNzRlYi8zZTYwNWU5OS05N2QyLTQ0MWYtOTdkNy1kNTBjNzdlODBjMDMvaW1hZ2UucG5n","False","https://www.ibood.com/nl/s-nl/o/12x-dove-men-care-extra-fresh-deodorant-150-ml/2970851","8720181284687","65.88 EUR","19,95","65,88","product","19.95 EUR","NL:5,95:2","12x Dove Men+Care Deo Spray | 150 ml","<ul><li>Biedt tot 72 uur bescherming</li><li>Beschermt de huid tegen irritatie</li><li>Met een frisse citrusgeur</li></ul>","2026-02-02 00:00:00","12x Dove Men+Care Extra Fresh Deo Spray | 150 ml","ibood"
"in_stock","Virtufit","new","Voor wie van roeien hou(d)t!","2026-02-02 23:59:59","Gezondheid en persoonlijke verzorging > Gezondheidszorg > Biometrische meters > Activiteitsmeters","8719325755220","2947853","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYm9vZC1nby1wcm9kdWN0aW9uLWdjcy1zdG9yYWdlL2ltYWdlcy9zb3VyY2UvMTQ3MTAwNi5wbmc","False","https://www.ibood.com/nl/s-nl/o/virtufit-wood-elite-water-resistance-rower/2947853","8719325755220","1199.00 EUR","649,95","1199","product","649.95 EUR","NL:19,95:8","VirtuFit Wood Elite Water Resistance Rower","<ul><li>Real-life roeitrainingen</li><li>Train met meerdere modi en apps</li><li>Natuurlijke waterweerstand</li></ul>","2026-02-02 00:00:00","VirtuFit Wood Elite Water Resistance Rower","ibood"
"in_stock","Sage","new","Hartjes op de koffie? Bestel en begin met oefenen zouden we zeggen.","2026-02-02 23:59:59","Huis en tuin > Keuken en eetkamer > Keukenmachines > Koffiezetapparaten en espressomachines","9312432030151","2977174","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYm9vZC1nby1wcm9kdWN0aW9uLWdjcy1zdG9yYWdlL2ltYWdlcy9zb3VyY2UvMTk3NzM2MS5wbmc","False","https://www.ibood.com/nl/s-nl/o/sage-the-barista-touch-espressomachine/2977174","9312432030151","1249.90 EUR","699","1249,9","product","699.00 EUR","NL:8,95:2","Sage The Barista Touch Espressomachine","<ul>
	<li>Met intu&iuml;tief touchscreen</li>
	<li>Automatisch stoompijpje voor melkschuim</li>
	<li>Warmt binnen drie seconden op</li>
</ul>","2026-02-02 00:00:00","Sage The Barista Touch Espressomachine | SES880","ibood"
"in_stock","Travelin'","new","Zo gauw je een paar van deze pantoffels gescoord hebt, kun jij de kou op je sloffen af. Laat maar komen dus!","2026-02-02 23:59:59","Kleding en accessoires > Schoenen","8719633184330","2963622","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYmV4LXByZC1hcGktMzBmMC1kb2N1bWVudHMtcHVibGljL2VhZmIzZWYyLWUxYmEtNGYwMS1iNjdhLWIwNDQ3YmVhNzRlYi83MDAzMWU0ZS1iYmY4LTRhNzctOWU5Yy00ZGYyZjg0NTFhYTEvaW1hZ2UucG5n","False","https://www.ibood.com/nl/s-nl/o/travelin-back2home-pantoffels/2963622","8719633184330","89.95 EUR","27,95","89,95","product","27.95 EUR","NL:5,95:2","Travelin' Back2Home Pantoffels","<ul><li>Heerlijk warm, zacht &amp; ademend</li><li>Dikke comfortlaag voor goede demping</li><li>Slijtvaste zool met goede grip</li></ul>","2026-02-02 00:00:00","Travelin' Back2Home Pantoffels | Heren of Dames","ibood"
"in_stock","Schaffenburg","new","Dit compacte en ergonomische bureau beweegt gewoon met je mee.","2026-02-02 23:59:59","Meubelen > Kantoormeubelen > Bureaus","8719756097302","2971990","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYmV4LXByZC1hcGktMzBmMC1kb2N1bWVudHMtcHVibGljL2VhZmIzZWYyLWUxYmEtNGYwMS1iNjdhLWIwNDQ3YmVhNzRlYi85OGMzNGQwYi03NjJiLTRmOTktYWU1Zi0wYjU4OWFkYWIwMmQvaW1hZ2UucG5n","False","https://www.ibood.com/nl/s-nl/o/schaffenburg-easyo-elektrisch-zit-sta-bureau-140x70/2971990","8719756097302","510.00 EUR","269","510","product","269.00 EUR","NL:19,95:1","Schaffenburg Easyo Elektrisch Zit/Sta Bureau | 140x70","<ul><li>Elektrisch verstelbaar bureau</li><li>Ergonomisch formaat</li><li>Eenvoudig te monteren</li></ul>","2026-02-02 00:00:00","Schaffenburg Easyo Elektrisch Zit/Sta Bureau | 140x70","ibood"
"in_stock","Parker","new","Parker. Jouw hofleverancier van schrijfwaren. :)","2026-02-02 23:59:59","Kantoorartikelen > Kantoorbenodigdheden > Schrijfinstrumenten > Pennen en potloden","3026982009555","2962473","True","https://image.ibood.io/image/w640a4-3/Z3M6Ly9pYmV4LXByZC1hcGktMzBmMC1kb2N1bWVudHMtcHVibGljL2VhZmIzZWYyLWUxYmEtNGYwMS1iNjdhLWIwNDQ3YmVhNzRlYi9kNDE1YjBhYS0wODVkLTRlYjEtYmQyYi1hNGUyNmQzNjc1MTMtdHIvaW1hZ2UucG5n","False","https://www.ibood.com/nl/s-nl/o/parker-im-pioneers-collection-fine-rollerball/2962473","3026982009555","99.00 EUR","24,95","99","product","24.95 EUR","NL:5,95:2","Parker IM Pioneers Collection Fine Rollerball","<ul><li>Soepel schrijfcomfort</li><li>Perfect voor jou &amp; als cadeau</li><li>Rollerbal met fijne punt</li></ul>","2026-02-02 00:00:00","Parker IM Pioneers Collection Fine Rollerball","ibood"
